1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
488,458,398,349,305,262,215,131,109,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,462,405,351,307,266,216,131,109,40,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,462,407,352,303,264,219,129,109,42,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,463,408,353,307,267,221,136,112,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,462,406,352,306,266,226,135,114,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,465,407,354,312,269,226,135,114,40,12,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
506,465,406,352,313,269,224,135,113,41,14,0,7,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
512,468,410,356,315,274,225,141,114,41,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,471,411,357,310,274,227,142,112,44,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,472,413,358,317,276,225,142,115,40,17,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,470,411,358,314,273,226,140,117,43,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,473,414,360,317,277,225,141,116,41,15,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,473,414,360,314,273,229,139,117,47,16,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,477,419,364,314,275,229,139,119,46,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,477,421,366,313,271,231,138,117,49,22,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,479,426,371,317,277,229,142,119,47,23,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,479,423,370,318,274,236,142,117,47,24,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,481,428,374,326,277,240,145,118,45,34,9,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,483,429,373,326,274,243,144,123,47,32,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,487,434,374,332,278,242,148,125,48,29,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,490,433,372,331,276,241,150,126,47,26,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,492,433,378,333,277,238,149,128,46,30,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,493,435,378,331,274,239,151,127,48,28,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,493,437,382,333,277,239,155,126,51,31,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,495,436,383,331,275,241,151,124,51,32,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,498,442,390,333,281,240,154,130,51,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,497,443,391,334,281,243,153,128,53,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,501,447,396,337,286,244,156,130,54,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,500,448,398,335,284,246,158,133,56,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,500,449,400,341,288,245,158,135,54,23,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,500,448,400,341,286,245,162,133,53,22,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,501,450,402,344,288,243,164,133,54,22,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,501,448,404,341,288,244,164,134,55,20,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,502,451,409,343,290,246,161,133,52,20,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,503,451,407,343,286,247,163,132,51,19,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,506,453,410,347,290,248,165,136,49,18,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,506,452,410,344,287,248,164,133,50,19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,508,454,410,347,291,245,164,134,47,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,510,455,410,343,289,247,163,135,49,21,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,514,456,413,347,298,245,169,134,48,27,3,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
573,517,456,412,346,301,244,170,139,53,28,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,517,463,413,350,306,242,170,138,52,30,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,518,464,414,347,307,244,174,140,52,25,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,520,465,414,348,312,242,174,148,50,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,522,466,415,344,312,244,174,149,51,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,523,471,420,346,315,241,178,151,48,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,522,470,419,343,312,245,178,151,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,528,473,421,349,315,244,179,153,50,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,528,475,421,347,315,247,177,151,55,25,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,529,478,420,349,318,247,177,154,57,31,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,528,479,418,347,315,251,174,154,58,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,529,481,420,351,318,252,176,153,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,529,481,420,348,319,253,174,154,57,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,530,483,422,351,326,254,176,159,53,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,529,482,423,351,324,253,174,160,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,530,486,422,356,326,251,173,158,54,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,531,487,424,352,322,255,175,157,54,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,533,490,423,355,325,254,173,157,54,32,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,532,488,423,356,323,257,172,156,57,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,536,495,424,360,326,255,174,153,59,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,535,494,422,358,323,257,175,153,60,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,536,497,425,361,327,256,179,153,60,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,536,498,427,362,324,258,177,159,66,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,539,502,427,365,328,257,177,158,65,27,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,540,506,424,363,326,260,178,156,71,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,542,510,425,368,331,257,178,159,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,542,509,426,366,330,260,179,159,71,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,543,513,426,367,332,258,178,160,67,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,543,515,424,367,328,259,174,157,64,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,545,520,429,370,332,256,179,158,62,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,545,520,428,369,328,256,178,153,62,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,548,521,427,372,334,257,181,152,63,21,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,548,523,428,370,331,259,180,154,62,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,550,526,430,373,333,263,181,155,62,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,549,527,428,372,330,264,181,154,61,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,552,528,429,377,332,262,188,152,58,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
627,552,529,429,376,329,263,191,155,61,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,554,532,432,381,333,262,194,155,60,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,555,534,432,378,333,266,192,158,63,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,557,538,434,384,336,265,195,160,62,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,558,537,434,382,332,265,195,158,61,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,564,539,438,384,332,264,199,161,58,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,566,537,441,381,329,265,200,159,58,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,570,540,443,383,331,268,205,159,56,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
